"","country","part","pld","w","d","l","gf","ga","gd","pts","rank","player","goals","land_area_km","confederation"
"1","Algeria"," 4"," 13"," 3"," 3"," 7"," 13"," 19","−6"," 12","37","Islam Slimani",41,2381741,"CAF"
"2","Angola"," 1","  3"," 0"," 2"," 1","  1","  2","−1","  2","119","Akwá",39,1246700,"CAF"
"3","Argentina","18"," 85","46","15","24","144"," 96","+48","153","3","Lionel Messi",94,2736690,"CONMEBOL"
"4","Australia"," 6"," 20"," 4"," 4","12"," 17"," 37","−20"," 16","38","Tim Cahill",50,7692020,"AFC"
"5","Austria"," 7"," 29","12"," 4","13"," 43"," 47","−4"," 40","34","Toni Polster",44,82520,"UEFA"
"6","Belgium","14"," 51","21","10","20"," 69"," 74","−5"," 73","2","Romelu Lukaku",68,30280,"UEFA"
"7","Bolivia"," 3","  6"," 0"," 1"," 5","  1"," 20","−19","  1","82","Marcelo Moreno",30,1083300,"CONMEBOL"
"8","Bosnia and Herzegovina"," 1","  3"," 1"," 0"," 2","  4","  4","0","  3","58","Edin Džeko",64,51209,"UEFA"
"9","Brazil","22","113","76","18","19","236","107","+129","246","1","Pelé",77,8358140,"CONMEBOL"
"10","Bulgaria"," 7"," 26"," 3"," 8","15"," 22"," 53","−31"," 17","72","Dimitar Berbatov & Hristo Bonev",48,108560,"UEFA"
"11","Cameroon"," 8"," 26"," 5"," 8","13"," 22"," 47","−25"," 23","43","Samuel Eto'o",56,472710,"CAF"
"12","Canada"," 2","  6"," 0"," 0"," 6","  2"," 12","−10","  0","41","Cyle Larin",25,8965590,"CONCACAF"
"13","Chile"," 9"," 33","11"," 7","15"," 40"," 49","−9"," 40","29","Alexis Sánchez",50,743532,"CONMEBOL"
"14","China"," 1","  3"," 0"," 0"," 3","  0","  9","−9","  0","79","Hao Haidong",41,9424702.9,"AFC"
"15","Colombia"," 6"," 22"," 9"," 3","10"," 32"," 30","+2"," 30","17","Radamel Falcao",36,1109500,"CONMEBOL"
"16","Costa Rica"," 6"," 21"," 6"," 5","10"," 22"," 39","−17"," 23","31","Rolando Fonseca",47,51060,"CONCACAF"
"17","Croatia"," 6"," 27","12"," 7"," 8"," 40"," 28","+12"," 43","12","Davor Šuker",45,55960,"UEFA"
"18","Cuba"," 1","  3"," 1"," 1"," 1","  5"," 12","−7","  4","167","Lester Moré",30,103800,"CONCACAF"
"19","Czech Republic"," 9"," 33","12"," 5","16"," 47"," 49","−2"," 41","35","Jan Koller",55,77198.5,"UEFA"
"20","Denmark"," 6"," 23"," 9"," 6"," 8"," 31"," 29","+2"," 33","10","Poul Nielsen & Jon Dahl Tomasson",52,40000,"UEFA"
"21","DR Congo"," 1","  3"," 0"," 0"," 3","  0"," 14","−14","  0","73","Dieumerci Mbokani",22,2267050,"CAF"
