"","...1","country","part","pld","w","d","l","gf","ga","gd","pts","rank","player","confederation"
"1",1,"Brazil",22,112,75,18,19,232,106,"126",243,1,"Pelé","CONMEBOL"
"2",2,"Germany",20,112,68,21,23,232,130,"102",225,11,"Miroslav Klose","UEFA"
"3",3,"Italy",18,83,45,21,17,128,77,"51",156,6,"Gigi Riva","UEFA"
"4",4,"Argentina",18,85,46,15,24,144,96,"48",153,3,"Lionel Messi","CONMEBOL"
"5",5,"France",16,69,36,13,20,126,80,"46",121,4,"Olivier Giroud & Thierry Henry","UEFA"
"6",6,"England",16,72,31,22,19,100,66,"34",115,5,"Wayne Rooney","UEFA"
"7",7,"Spain",16,66,31,16,19,108,75,"33",109,7,"David Villa","UEFA"
"8",8,"Netherlands",11,54,30,13,11,94,50,"44",103,8,"Robin van Persie","UEFA"
"9",9,"Uruguay",14,59,25,13,21,89,76,"13",88,14,"Luis Suárez","CONMEBOL"
"10",10,"Belgium",14,51,21,10,20,69,74,"−5",73,2,"Romelu Lukaku","UEFA"
"11",11,"Sweden",12,51,19,13,19,80,73,"7",70,25,"Zlatan Ibrahimović","UEFA"
"12",12,"Russia",11,45,19,10,16,77,54,"23",67,33,NA,"UEFA"
"13",13,"Mexico",17,60,17,15,28,62,101,"−39",66,13,"Javier Hernández","CONCACAF"
"14",14,"Serbia",13,49,18,9,22,71,71,"0",63,21,"Aleksandar Mitrović","UEFA"
"15",15,"Poland",9,37,17,6,14,48,47,"1",57,26,"Robert Lewandowski","UEFA"
"16",16,"Portugal",8,33,16,6,11,55,39,"16",54,9,"Cristiano Ronaldo","UEFA"
"17",17,"Switzerland",12,40,14,8,18,54,67,"−13",50,15,"Alexander Frei","UEFA"
"18",18,"Hungary",9,32,15,3,14,87,57,"30",48,36,"Ferenc Puskás","UEFA"
"19",19,"Croatia",6,26,12,6,8,39,27,"12",42,12,"Davor Šuker","UEFA"
"20",20,"Czech Republic",9,33,12,5,16,47,49,"−2",41,NA,"Jan Koller","UEFA"
"21",21,"Austria",7,29,12,4,13,43,47,"−4",40,34,"Toni Polster","UEFA"
"22",22,"Chile",9,33,11,7,15,40,49,"−9",40,29,"Alexis Sánchez","CONMEBOL"
"23",23,"United States",11,37,9,8,20,40,66,"−26",35,NA,"Clint Dempsey & Landon Donovan","CONCACAF"
"24",24,"Denmark",6,23,9,6,8,31,29,"2",33,10,"Poul Nielsen & Jon Dahl Tomasson","UEFA"
"25",25,"Paraguay",8,27,7,10,10,30,38,"−8",31,47,"Roque Santa Cruz","CONMEBOL"
"26",26,"South Korea",11,37,7,10,20,38,74,"−36",31,NA,"Cha Bum-kun","AFC"
"27",27,"Colombia",6,22,9,3,10,32,30,"2",30,17,"Radamel Falcao","CONMEBOL"
"28",28,"Romania",7,21,8,5,8,30,32,"−2",29,53,"Adrian Mutu & Gheorghe Hagi","UEFA"
"29",29,"Japan",7,24,7,5,12,24,32,"−8",26,24,"Kunishige Kamamoto","AFC"
"30",30,"Costa Rica",6,21,6,5,10,22,39,"−17",23,31,"Rolando Fonseca","CONCACAF"
"31",31,"Cameroon",8,26,5,8,13,22,47,"−25",23,43,"Samuel Eto'o","CAF"
"32",32,"Nigeria",6,21,6,3,12,23,30,"−7",21,32,"Rashidi Yekini","CAF"
"33",33,"Scotland",8,23,4,7,12,25,41,"−16",19,40,"Denis Law & Kenny Dalglish","CAF"
"34",34,"Senegal",3,11,5,3,3,16,14,"2",18,18,"Sadio Mané","CAF"
"35",35,"Ghana",4,15,5,3,7,18,23,"−5",18,61,"Asamoah Gyan","CAF"
